name,category,unit,price,notes
"2"" DRAIN VALVE",Boiler Repairs,,445.0,Vendor: WR; Updated 04/2023
"3/4"" POP SAFETY VALVE",Boiler Repairs,,450.0,Vendor: A.C.; Updated 02/2023
"2"" POP SAFETY VALVE -15 PSI-3164 BTU",Boiler Repairs,,1250.0,Vendor: A.V. HEAT & BURNER; Our cost: $370; Updated 12/2023
"3"" POP SAFETY VALVE",Boiler Repairs,,1500.0,Vendor: H & L A.V.; Our cost: $478; Updated 12/2023
"2.5"" POP SAFETY VALVE 2.5",Boiler Repairs,,1400.0,Vendor: H AND B; Our cost: $685; Updated 12/2023
PULL CHAIN ASSEMBLY FOR POPSAFE,Boiler Repairs,,600.0,Vendor: PROPOSAL; Updated 08/2023
COMPLETE MANWAY W/LABOR,Boiler Repairs,,4200.0,Vendor: H AND B; Updated 08/2023
MANWAY ASSEMBLY,Boiler Repairs,,3640.0,Vendor: H AND B; Updated 09/2022
BOILER TUBE PLUGS,Boiler Repairs,,41.24,Vendor: H AND B; Updated 07/2023; WYE STRMER 90---
"STUD,LUG,WASHER,NUT - PER SET",Boiler Repairs,,45.0,Vendor: H AND B; Updated 07/2023
UNITEC BRASS GAUGE GLASS ASBY,Boiler Repairs,,160.0,Vendor: H & B; Our cost: $80; Updated 06/2023
MANWAY GASKET,Boiler Repairs,,1200.0,Vendor: A.C.; Updated 06/2024
SWIVEL CONNECTOR,Boiler Repairs,,150.0,Vendor: A.C.; Updated 02/2024
COMPLETE BURNR DAMPER ASBY,Boiler Repairs,,4124.8,Vendor: WYMBS FOR MMG-30; Our cost: $2062; Updated 06/2023
GASKET FOR REAR ACCES DOOR,Boiler Repairs,,645.0,Vendor: A.C.; Updated 06/2024
PILLOW BLOCK ASSEMBLY,Boiler Repairs,,800.0,Vendor: LINKAGE ITEM
"12"" BAROMETRIC",Boiler Repairs,,625.0,Vendor: AMAF; Our cost: $309; Updated 12/2022
"14"" BAROMETRIC",Boiler Repairs,,1100.0,Vendor: AMAF; Our cost: $548; Updated 06/2024
"16"" BAROMETRIC",Boiler Repairs,,1350.0,Vendor: AMAF; Our cost: $663; Updated 08/2024
"18"" BAROMETRIC",Boiler Repairs,,1800.0,Vendor: H&L; Our cost: $785; Updated 11/2022
"20"" BAROMETRIC",Boiler Repairs,,2295.0,Vendor: H & B; Our cost: $1146; Updated 01/2024
"22"" BAROMETRIC",Boiler Repairs,,1490.0,"Vendor: "" """
"24"" BAROMETRIC",Boiler Repairs,,2600.0,Vendor: H & L; Our cost: $1300; Updated 09/2023
"20"" ACORN FRESH AIR FAN",Boiler Repairs,,1150.0,"Vendor: AMAF - 457#, 460; Our cost: $559; Updated 05/2022"
"20"" ACORN FRESH AIR FAN",Boiler Repairs,,1000.0,Vendor: HEAT & BURNR - 456 #; Our cost: $500
"16"" ACORN FRESH AIR FAN",Boiler Repairs,,1100.0,Vendor: HEAT & BURNR - 451#; Our cost: $525; Updated 04/2023
ACORN FRESH AIR FAN,Boiler Repairs,,1200.0,Vendor: 454#; Our cost: $559; Updated 07/2023
ACORN FRESH AIR FAN,Boiler Repairs,,1104.0,Vendor: AMAF 453#; Our cost: $552; Updated 05/2023
FRESH AIR FAN PLYWOOD SUPPORT,Boiler Repairs,,175.0,Vendor: A.C.; Updated 02/2024
FRESH AIR FAN MOTOR ONLY,Boiler Repairs,,674.0,Vendor: AMAF; Our cost: $337; Updated 07/2023
FRESH AIR FAN MOTOR ONLY,Boiler Repairs,,750.0,Vendor: H & B MARTHON.115 1800RPM; Our cost: $375; Updated 08/2023
SAIL SWITCH,Boiler Repairs,,186.19,Vendor: HEAT & BURNR & AMAF; Our cost: $85; Updated 08/2022
METAL SAIL SWITCH,Boiler Repairs,,560.0,Vendor: A.C.; Our cost: $283; Updated 08/2024
DAR KIT,Boiler Repairs,,455.0,Vendor: WYMBS; Our cost: $224; Updated 02/2024
SEQUENTIAL DRAFT CONTROL,Boiler Repairs,,4980.0,Vendor: H & B; Our cost: $2515; Updated 04/2023
LOW DRAFT SWITCH (FOR CDR),Boiler Repairs,,1140.0,Vendor: PROPOSAL; Updated 04/2023
SAIL FOR SAIL SWITC,Boiler Repairs,,50.0,Vendor: A.C.; Updated 03/2023
DRAFT INDUCER,Boiler Repairs,,720.0,Vendor: A.C.; Our cost: $350; Updated 02/2024
LINE STARTER,Boiler Repairs,,1100.0,Vendor: AMAF -14DU-32A; Our cost: $550; Updated 10/2022
PB RELAY (CONTACTOR),Boiler Repairs,,178.0,Vendor: COMPUTER; Updated 06/2023
RACEWAY,Boiler Repairs,,550.0,Vendor: A.C.; Updated 06/2024
30 AMP 3-POLE CIRCUIT BREAKER,Boiler Repairs,,150.0,Vendor: A.C.; Updated 11/2024
1019 GAS ACTUATOR -HONYWELL,Gas Service,,1500.0,Vendor: AMAF - V4055D-1019; Updated 09/2022
"RV-111 GAS REGULATOR 3""",Gas Service,,1714.0,Vendor: AMAF; Updated 09/2022
GAS PRES. MANOMETER GAUGE,Gas Service,,125.0,Updated 06/2022
GAS VALVE - WITH PILOT LINE,Gas Service,,675.0,Vendor: AMAF----------- VE8300 A4508; Our cost: $232
PROPANE TANK,Gas Service,,89.0,Updated 10/2022
"3"" GAS SOLENOID VALVE",Gas Service,,2050.0,Vendor: A.C; Our cost: $1000
"3/4"" GAS VALVE-24 VOLT,VR8304P4348",Gas Service,,750.0,Vendor: A.C. -- PRICE MAY VARY
"GAS BUTTERFLY VALVE/501 2""",Gas Service,,1104.77,Vendor: AMAF; Our cost: $376; Updated 12/2023
"10"" ARM FOR GAS BUTTFLY VLV",Gas Service,,250.0,Vendor: A.C.; Updated 10/2023
GAS PRESURE GAUGE,Gas Service,,68.0,Vendor: A.C.; Updated 05/2022
"3"" GAS ACTUATOR",Gas Service,,2364.0,Vendor: AMAF; Our cost: $1182; Updated 05/2023
"3"" GAS VALVE BODY",Gas Service,,2700.0,Vendor: AMAF-- $2846.; Our cost: $2846; Updated 08/2023
